"Model","StateNum","Probability.Cut.Off","Granularity","Window.Size","Sample.Size","BinNum","Avg.Cycle.Usage1","Avg.Cycle.Usage2","Survival.Rate","Correctly.Scheduled","Correctly.Unscheduled"
"AR1_logistic_glm",0,0.1,0.78125,36,100,500,0.253486218294153,0.246595604742643,0.69753222997901,0.179422835633626,0.894917644796102
"AR1_logistic_glm",0,0.1,0.78125,36,100,1000,0.266234949390005,0.25889564067087,0.711474864851406,0.179422835633626,0.894917644796102
"AR1_logistic_glm",0,0.75,0.78125,36,100,500,0.352669567493115,0.342898341353466,0.44675714611552,0.0687411598302687,0.942016210140212
"AR1_logistic_glm",0,0.75,0.78125,36,100,1000,0.359668061553651,0.349630593564057,0.480389215112944,0.0687411598302687,0.942016210140212
"AR1_logistic_glm",0,0.005,1.5625,36,100,500,0.156708743675713,0.152410647385664,0.749160950375669,0.222543352601156,0.890251608758386
"AR1_logistic_glm",0,0.005,1.5625,36,100,1000,0.171168446190563,0.166508386681011,0.791959300028181,0.222543352601156,0.890251608758386
"AR1_logistic_glm",0,0.01,1.5625,36,100,500,0.173545152719418,0.168801921839046,0.749733977020696,0.23121387283237,0.890474610023233
"AR1_logistic_glm",0,0.01,1.5625,36,100,1000,0.188834814685903,0.183633862681289,0.778900119176188,0.23121387283237,0.890474610023233
"AR1_logistic_glm",0,0.1,1.5625,36,100,500,0.252089307446921,0.245275682270665,0.696652579669004,0.179422835633626,0.899848806210165
"AR1_logistic_glm",0,0.1,1.5625,36,100,1000,0.265318298746832,0.25796466523229,0.706924872726375,0.179422835633626,0.899848806210165
"AR1_logistic_glm",0,0.75,1.5625,36,100,500,0.354701126156115,0.344840023059261,0.460785835583282,0.0673170731707317,0.947015322723777
"AR1_logistic_glm",0,0.75,1.5625,36,100,1000,0.361337448747901,0.351251443431848,0.486736340871471,0.0673170731707317,0.947015322723777
"AR1_logistic_glm",0,0.005,3.125,36,100,500,0.153946469353025,0.149735374316983,0.747532416179153,0.222543352601156,0.903542954638806
"AR1_logistic_glm",0,0.005,3.125,36,100,1000,0.168571536150361,0.163891132697074,0.787290760369958,0.222543352601156,0.903542954638806
"AR1_logistic_glm",0,0.01,3.125,36,100,500,0.170564240661463,0.165897354943287,0.74351518365765,0.23121387283237,0.903771487575006
"AR1_logistic_glm",0,0.01,3.125,36,100,1000,0.185577800634194,0.180507731674114,0.7800004692877,0.23121387283237,0.903771487575006
"AR1_logistic_glm",0,0.1,3.125,36,100,500,0.250968919312282,0.24407958846368,0.690310795959077,0.179422835633626,0.913263915972582
"AR1_logistic_glm",0,0.1,3.125,36,100,1000,0.263031762710151,0.255781036788183,0.707183982006994,0.179422835633626,0.913263915972582
"AR1_logistic_glm",0,0.75,3.125,36,100,500,0.359376181945992,0.349522267063879,0.460375594269746,0.0587036801222463,0.956203645654668
"AR1_logistic_glm",0,0.75,3.125,36,100,1000,0.36597324324448,0.355641239364556,0.497672702713953,0.0587036801222463,0.956203645654668
"AR1_logistic_glm",0,0.005,0,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,0,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,0,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,0,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,0,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,0,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,0.78125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,0.78125,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,0.78125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,0.78125,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0.78125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0.78125,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,0.78125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,0.78125,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,1.5625,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,1.5625,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,1.5625,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,1.5625,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,1.5625,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,1.5625,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,1.5625,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,1.5625,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,3.125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,3.125,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,3.125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,3.125,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,3.125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,3.125,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,3.125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,3.125,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,0,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,0,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,0,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,0,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,0,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,0,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,0.78125,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,0.78125,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,0.78125,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,0.78125,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0.78125,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0.78125,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,0.78125,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,0.78125,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,1.5625,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,1.5625,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,1.5625,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,1.5625,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,1.5625,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,1.5625,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,1.5625,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,1.5625,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,3.125,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,3.125,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,3.125,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,3.125,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,3.125,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,3.125,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,3.125,36,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,3.125,36,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.005,0,12,100,500,0.313149432121893,0.307454349977192,0.882571427135092,0.585,0.672588470319635
"AR1_logistic_lm",0,0.005,0,12,100,1000,0.337572512969929,0.331395718124538,0.871505535463461,0.585,0.672588470319635
"AR1_logistic_lm",0,0.01,0,12,100,500,0.338294707665749,0.332211407692847,0.871090175516913,0.570731707317073,0.672583555025533
"AR1_logistic_lm",0,0.01,0,12,100,1000,0.361372911205143,0.35478920642647,0.870276179044057,0.570731707317073,0.672583555025533
"AR1_logistic_lm",0,0.1,0,12,100,500,0.447164622278674,0.43928287746824,0.805496813073604,0.61310592459605,0.695147037826347
"AR1_logistic_lm",0,0.1,0,12,100,1000,0.462497547216486,0.454001333307542,0.803339020920171,0.61310592459605,0.695147037826347
"AR1_logistic_lm",0,0.75,0,12,100,500,0.479516393758016,0.470703871949934,0.453132420123437,0.201923076923077,0.783022618231666
"AR1_logistic_lm",0,0.75,0,12,100,1000,0.486256577802861,0.477365864814959,0.455197258066784,0.201923076923077,0.783022618231666
"AR1_logistic_lm",0,0.005,0.78125,12,100,500,0.311495130659532,0.305738182693432,0.884743776375495,0.585,0.70718158838878
"AR1_logistic_lm",0,0.005,0.78125,12,100,1000,0.335706613264452,0.329528451907797,0.865104159629653,0.585,0.70718158838878
"AR1_logistic_lm",0,0.01,0.78125,12,100,500,0.336646800278871,0.330584572581119,0.872315647839852,0.570731707317073,0.707177730891152
"AR1_logistic_lm",0,0.01,0.78125,12,100,1000,0.359855213227948,0.353259058593462,0.865612694790949,0.570731707317073,0.707177730891152
"AR1_logistic_lm",0,0.1,0.78125,12,100,500,0.445336748452921,0.437458460503532,0.813302691093326,0.61310592459605,0.730979740984976
"AR1_logistic_lm",0,0.1,0.78125,12,100,1000,0.461739203361186,0.453292848839172,0.802266716846781,0.61310592459605,0.730979740984976
"AR1_logistic_lm",0,0.75,0.78125,12,100,500,0.490852062691286,0.481848869765456,0.468452623022032,0.181318998901798,0.820561643835616
"AR1_logistic_lm",0,0.75,0.78125,12,100,1000,0.499893704873361,0.490711607126957,0.473547144748731,0.181318998901798,0.820561643835616
"AR1_logistic_lm",0,0.005,1.5625,12,100,500,0.309620595296279,0.303901442077489,0.884433804681659,0.585,0.731888046314416
"AR1_logistic_lm",0,0.005,1.5625,12,100,1000,0.333654247153133,0.327548784662582,0.877265206458223,0.585,0.731888046314416
"AR1_logistic_lm",0,0.01,1.5625,12,100,500,0.335180910639354,0.329072150557997,0.873740566260157,0.570731707317073,0.73188494429665
"AR1_logistic_lm",0,0.01,1.5625,12,100,1000,0.358266664872338,0.351680187195927,0.876364663217247,0.570731707317073,0.73188494429665
"AR1_logistic_lm",0,0.1,1.5625,12,100,500,0.444234924245451,0.436357400459082,0.817029814020938,0.602122015915119,0.756570389093947
"AR1_logistic_lm",0,0.1,1.5625,12,100,1000,0.460173830072497,0.451759620512696,0.811673507405512,0.602122015915119,0.756570389093947
"AR1_logistic_lm",0,0.75,1.5625,12,100,500,0.501788555662904,0.492655276660565,0.482270619829794,0.178761670198751,0.852696242928954
"AR1_logistic_lm",0,0.75,1.5625,12,100,1000,0.510011961251012,0.500891598666466,0.490217806309774,0.178761670198751,0.852696242928954
"AR1_logistic_lm",0,0.005,3.125,12,100,500,0.306529172691036,0.300847399124985,0.904070473246903,0.585,0.778029191128506
"AR1_logistic_lm",0,0.005,3.125,12,100,1000,0.33022185000237,0.324100625654778,0.900681256535836,0.585,0.778029191128506
"AR1_logistic_lm",0,0.01,3.125,12,100,500,0.331845150340631,0.325674500055447,0.894062820121398,0.570731707317073,0.778027500025482
"AR1_logistic_lm",0,0.01,3.125,12,100,1000,0.355574122910675,0.34896722392744,0.879153196438312,0.570731707317073,0.778027500025482
"AR1_logistic_lm",0,0.1,3.125,12,100,500,0.442172205924195,0.434225134887104,0.831402388478795,0.577284372331341,0.804236441220171
"AR1_logistic_lm",0,0.1,3.125,12,100,1000,0.458288995621162,0.449899362218049,0.819870915857668,0.577284372331341,0.804236441220171
"AR1_logistic_lm",0,0.75,3.125,12,100,500,0.519415821300447,0.509905504419051,0.507121115676629,0.152032268073224,0.901860684737458
"AR1_logistic_lm",0,0.75,3.125,12,100,1000,0.523804138418981,0.514164025008548,0.510031197651919,0.152032268073224,0.901860684737458
"AR1_logistic_lm",0,0.005,0,36,100,500,0.134196250988066,0.13046547737125,0.744351750889762,0.222543352601156,0.872963380341025
"AR1_logistic_lm",0,0.005,0,36,100,1000,0.147162317453872,0.143060327081868,0.743051945540072,0.222543352601156,0.872963380341025
"AR1_logistic_lm",0,0.01,0,36,100,500,0.149326379846118,0.145202213505227,0.742527274853084,0.23121387283237,0.873179186488181
"AR1_logistic_lm",0,0.01,0,36,100,1000,0.162593686851412,0.158092349964908,0.722401040009537,0.23121387283237,0.873179186488181
"AR1_logistic_lm",0,0.1,0,36,100,500,0.227100482301289,0.220825706216646,0.690071155183962,0.181132075471698,0.882443465994101
"AR1_logistic_lm",0,0.1,0,36,100,1000,0.236118956654683,0.229802400141945,0.66654274398194,0.181132075471698,0.882443465994101
"AR1_logistic_lm",0,0.75,0,36,100,500,0.335870872445055,0.326553931575601,0.43600276833452,0.0711805555555556,0.929896199505261
"AR1_logistic_lm",0,0.75,0,36,100,1000,0.339048464251711,0.329703738829349,0.438927877155087,0.0711805555555556,0.929896199505261
"AR1_logistic_lm",0,0.005,0.78125,36,100,500,0.133090300482525,0.129298210832191,0.742485209773006,0.222543352601156,0.885391104698312
