Model,StateNum,Probability.Cut.Off,Granularity,Window.Size,Sample.Size,BinNum,Avg.Cycle.Usage1,Avg.Cycle.Usage2,Survival.Rate,Correctly.Scheduled,Correctly.Unscheduled
AR1_logistic_glm,0,0.01,1.5625,36,100,1000,0.274447369,0.193303863,0.908674245,0.231213873,0.89047461
AR1_logistic_glm,0,0.1,1.5625,36,100,500,0.379415111,0.253932008,0.852536753,0.179422836,0.899848806
AR1_logistic_glm,0,0.1,1.5625,36,100,1000,0.400022747,0.266048186,0.856594792,0.179422836,0.899848806
AR1_logistic_glm,0,0.75,1.5625,36,100,500,0.552982968,0.354804099,0.747728844,0.067317073,0.947015323
AR1_logistic_glm,0,0.75,1.5625,36,100,1000,0.565751695,0.359570189,0.747864062,0.067317073,0.947015323
AR1_logistic_glm,0,0.005,3.125,36,100,500,0.223617538,0.159050381,0.916260781,0.222543353,0.903542955
AR1_logistic_glm,0,0.005,3.125,36,100,1000,0.245718104,0.174087167,0.93000324,0.222543353,0.903542955
AR1_logistic_glm,0,0.01,3.125,36,100,500,0.246767293,0.175022348,0.910349139,0.231213873,0.903771488
AR1_logistic_glm,0,0.01,3.125,36,100,1000,0.270306296,0.190220042,0.918599486,0.231213873,0.903771488
AR1_logistic_glm,0,0.1,3.125,36,100,500,0.378103748,0.252108727,0.858487959,0.179422836,0.913263916
AR1_logistic_glm,0,0.1,3.125,36,100,1000,0.39838504,0.263821189,0.856901592,0.179422836,0.913263916
AR1_logistic_glm,0,0.75,3.125,36,100,500,0.567547588,0.360274157,0.755382185,0.05870368,0.956203646
AR1_logistic_glm,0,0.75,3.125,36,100,1000,0.5783531,0.363955085,0.752969499,0.05870368,0.956203646
AR1_logistic_glm,0,0.005,0,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.005,0,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.01,0,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.01,0,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.1,0,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.1,0,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.75,0,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.75,0,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.005,0.78125,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.005,0.78125,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.01,0.78125,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.01,0.78125,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.1,0.78125,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.1,0.78125,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.75,0.78125,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.75,0.78125,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.005,1.5625,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.005,1.5625,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.01,1.5625,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.01,1.5625,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.1,1.5625,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.1,1.5625,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.75,1.5625,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.75,1.5625,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.005,3.125,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.005,3.125,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.01,3.125,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.01,3.125,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.1,3.125,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.1,3.125,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.75,3.125,12,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.75,3.125,12,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.005,0,36,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.005,0,36,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.01,0,36,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.01,0,36,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.1,0,36,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.1,0,36,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.75,0,36,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.75,0,36,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.005,0.78125,36,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.005,0.78125,36,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.01,0.78125,36,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.01,0.78125,36,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.1,0.78125,36,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.1,0.78125,36,3000,1000,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.75,0.78125,36,3000,500,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.75,0.78125,36,3000,1000,NA,NA,NA,NA,NA
