"Model","StateNum","Probability.Cut.Off","Granularity","Window.Size","Sample.Size","BinNum","Avg.Cycle.Usage","Agg.Cycle.Usage","Avg.Survival.Rate","Agg.Survival.Rate","Correctly.Scheduled","Correctly.Unscheduled"
"AR1_logistic_glm",0,0.1,0.78125,12,100,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0.78125,12,100,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0.78125,12,3000,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0.78125,12,3000,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0.78125,36,100,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0.78125,36,100,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0.78125,36,3000,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0.78125,36,3000,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,1.5625,12,100,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,1.5625,12,100,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,1.5625,12,3000,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,1.5625,12,3000,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,1.5625,36,100,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,1.5625,36,100,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,1.5625,36,3000,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,1.5625,36,3000,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,3.125,12,100,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,3.125,12,100,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,3.125,12,3000,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,3.125,12,3000,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,3.125,36,100,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,3.125,36,100,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,3.125,36,3000,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,3.125,36,3000,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.0025,0,12,100,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.0025,0,12,100,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.005,0,12,100,500,0.320600303962311,0.34109279588167,0.878761998674554,0.894154582149798,0.935483870967742,0.671531509526136
"AR1_logistic_lm",0,0.005,0,12,100,1000,0.335794538893356,0.357336962409166,0.895046289522096,0.906462585034014,0.935483870967742,0.671531509526136
"AR1_logistic_lm",0,0.01,0,12,100,500,0.341293739476737,0.362678788092357,0.87822133467032,0.884502279076606,0.935483870967742,0.671531509526136
"AR1_logistic_lm",0,0.01,0,12,100,1000,0.356099423596292,0.378450497506297,0.883088258343293,0.896619697744031,0.935483870967742,0.671531509526136
"AR1_logistic_lm",0,0.1,0,12,100,500,0.425241259374339,0.449499152821121,0.828627475344683,0.831372298247858,0.933709449929478,0.693939585840035
"AR1_logistic_lm",0,0.1,0,12,100,1000,0.435619026487361,0.460406392669643,0.83058822992059,0.835520786189953,0.933709449929478,0.693939585840035
"AR1_logistic_lm",0,0.0025,0.78125,12,100,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.0025,0.78125,12,100,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.005,0.78125,12,100,500,0.320658204047194,0.341379385622093,0.87817814566733,0.902029337994984,0.935483870967742,0.706704934049829
"AR1_logistic_lm",0,0.005,0.78125,12,100,1000,0.334554358721837,0.356249355438419,0.888335327800153,0.909490464839094,0.935483870967742,0.706704934049829
"AR1_logistic_lm",0,0.01,0.78125,12,100,500,0.341540816141091,0.363159808364157,0.876034812707075,0.892361629121289,0.935483870967742,0.706704934049829
"AR1_logistic_lm",0,0.01,0.78125,12,100,1000,0.355373550493462,0.37793884324438,0.877565864923825,0.899704579025111,0.935483870967742,0.706704934049829
"AR1_logistic_lm",0,0.1,0.78125,12,100,500,0.426924450170302,0.451619025776692,0.834892909248695,0.839538371259047,0.932299012693935,0.730352732569185
"AR1_logistic_lm",0,0.1,0.78125,12,100,1000,0.436020093186552,0.461140696470274,0.826066871084234,0.840079103493738,0.932299012693935,0.730352732569185
"AR1_logistic_lm",0,0.0025,1.5625,12,100,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.0025,1.5625,12,100,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.005,1.5625,12,100,500,0.319382410893556,0.340222186469392,0.879835309570268,0.910438494373302,0.935483870967742,0.731558378114314
"AR1_logistic_lm",0,0.005,1.5625,12,100,1000,0.333129361135721,0.354968984979945,0.905845439033488,0.915384037840679,0.935483870967742,0.731558378114314
"AR1_logistic_lm",0,0.01,1.5625,12,100,500,0.340552333945354,0.362290940507346,0.879931896474191,0.899697428139183,0.935483870967742,0.731558378114314
"AR1_logistic_lm",0,0.01,1.5625,12,100,1000,0.353988571313945,0.376662502414577,0.894852643035776,0.903827573392791,0.935483870967742,0.731558378114314
"AR1_logistic_lm",0,0.1,1.5625,12,100,500,0.4266864382785,0.45162993399568,0.836653213801417,0.847345862182657,0.930888575458392,0.75606358052055
"AR1_logistic_lm",0,0.1,1.5625,12,100,1000,0.436530876040166,0.461865420181778,0.841239598695055,0.846322649288469,0.930888575458392,0.75606358052055
"AR1_logistic_lm",0,0.0025,3.125,12,100,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.0025,3.125,12,100,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.005,3.125,12,100,500,0.320940319582354,0.342299870548395,0.906954674016489,0.919709182867078,0.935483870967742,0.778089887640449
"AR1_logistic_lm",0,0.005,3.125,12,100,1000,0.330362889023331,0.352611992752014,0.91857752316098,0.920633717404488,0.935483870967742,0.778089887640449
"AR1_logistic_lm",0,0.01,3.125,12,100,500,0.342441892931275,0.364689252990487,0.899968161533475,0.912943871706758,0.935483870967742,0.778089887640449
"AR1_logistic_lm",0,0.01,3.125,12,100,1000,0.352338660937208,0.375321642621483,0.909402846990275,0.912789390874354,0.935483870967742,0.778089887640449
"AR1_logistic_lm",0,0.1,3.125,12,100,500,0.430949649717388,0.456635342121808,0.85121552110675,0.862821199143469,0.926657263751763,0.804128934203027
"AR1_logistic_lm",0,0.1,3.125,12,100,1000,0.436955705578749,0.462774208611445,0.84750042544173,0.858571620351725,0.926657263751763,0.804128934203027
"AR1_logistic_lm",0,0.005,0,12,100,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.005,0,12,100,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.005,0,36,100,500,0.139817061539933,0.14682930603318,0.808045423597247,0.823921431076815,0.89873417721519,0.871828603645931
"AR1_logistic_lm",0,0.005,0,36,100,1000,0.146579913735109,0.154681104927408,0.802974599699908,0.835660928873011,0.89873417721519,0.871828603645931
"AR1_logistic_lm",0,0.01,0,36,100,500,0.15381715815397,0.161355000276448,0.797928858868197,0.82263785875524,0.869047619047619,0.872084273890143
"AR1_logistic_lm",0,0.01,0,36,100,1000,0.160165468361266,0.169067015722575,0.799021329906885,0.827479017718371,0.869047619047619,0.872084273890143
"AR1_logistic_lm",0,0.1,0,36,100,500,0.219991553934239,0.230936680432664,0.776579215887091,0.775767112509835,0.848275862068966,0.88011417697431
"AR1_logistic_lm",0,0.1,0,36,100,1000,0.223407119579966,0.236007490000674,0.768924035890971,0.782141921969102,0.848275862068966,0.88011417697431
"AR1_logistic_lm",0,0.005,0.78125,12,100,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.005,0.78125,12,100,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.005,0.78125,36,100,500,0.138776233099988,0.145822515556515,0.812854312876745,0.83199121522694,0.89873417721519,0.885359894756625
"AR1_logistic_lm",0,0.005,0.78125,36,100,1000,0.145576581351391,0.153692430622133,0.809343575661375,0.845008460236887,0.89873417721519,0.885359894756625
"AR1_logistic_lm",0,0.01,0.78125,36,100,500,0.152583766285457,0.160202545072018,0.803136350888688,0.831663326653307,0.869047619047619,0.885628291948834
"AR1_logistic_lm",0,0.01,0.78125,36,100,1000,0.159202262212121,0.168066939972756,0.805538104307144,0.838874680306905,0.869047619047619,0.885628291948834
"AR1_logistic_lm",0,0.1,0.78125,36,100,500,0.218635972795009,0.229727181695665,0.784978268958481,0.785851913019543,0.841379310344828,0.893625118934348
"AR1_logistic_lm",0,0.1,0.78125,36,100,1000,0.222437763206477,0.235186624763163,0.773648283294456,0.792598729632698,0.841379310344828,0.893625118934348
"AR1_logistic_lm",0,0.005,1.5625,12,100,1000,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.005,1.5625,12,100,500,NA,NA,NA,NA,NA,NA
"AR1_logistic_lm",0,0.005,1.5625,36,100,500,0.137386226386418,0.144461552069947,0.812157445037292,0.829898838516298,0.89873417721519,0.889682390528096
"AR1_logistic_lm",0,0.005,1.5625,36,100,1000,0.144293036081077,0.152472400041875,0.802328999840168,0.843728343728344,0.89873417721519,0.889682390528096
"AR1_logistic_lm",0,0.01,1.5625,36,100,500,0.151555337462228,0.159207281924091,0.797667748509769,0.830779707184202,0.869047619047619,0.889954853273138
"AR1_logistic_lm",0,0.01,1.5625,36,100,1000,0.158125711856444,0.167025810369454,0.799989338199674,0.83915857605178,0.869047619047619,0.889954853273138
"AR1_logistic_lm",0,0.1,1.5625,36,100,500,0.217663360524611,0.228801061373661,0.795486203070826,0.788450860632982,0.841379310344828,0.898001902949572
