"Model","StateNum","Probability.Cut.Off","Granularity","Window.Size","Sample.Size","BinNum","Avg.Cycle.Usage1","Avg.Cycle.Usage2","Survival.Rate","Correctly.Scheduled","Correctly.Unscheduled"
"AR1_logistic_glm",0,0.005,3.125,12,100,500,0.405975239579469,0.335947380566559,0.915590418361071,0.935483870967742,0.778089887640449
"AR1_logistic_glm",0,0.005,3.125,12,100,1000,0.421860268035592,0.350419886887734,0.911620025908733,0.935483870967742,0.778089887640449
"AR1_logistic_glm",0,0.01,3.125,12,100,500,0.434982343356918,0.35783591196985,0.905613102687941,0.935483870967742,0.778089887640449
"AR1_logistic_glm",0,0.01,3.125,12,100,1000,0.451632201921786,0.372405554633159,0.903754508047133,0.935483870967742,0.778089887640449
"AR1_logistic_glm",0,0.1,3.125,12,100,500,0.558707726238512,0.448122952885543,0.850649028974631,0.926657263751763,0.804128934203027
"AR1_logistic_glm",0,0.1,3.125,12,100,1000,0.56889096633579,0.456034833838361,0.837760020087201,0.926657263751763,0.804128934203027
"AR1_logistic_glm",0,0.75,3.125,12,100,500,0.550889463289544,0.434930352903708,0.565802958278935,0.592262602579132,0.89995913363302
"AR1_logistic_glm",0,0.75,3.125,12,100,1000,0.557730249389962,0.442083681010847,0.56911168453408,0.592262602579132,0.89995913363302
"AR1_logistic_glm",0,0.005,0,36,100,500,0.206324873161325,0.148413779900078,0.8014202587101,0.89873417721519,0.871828603645931
"AR1_logistic_glm",0,0.005,0,36,100,1000,0.225824641157433,0.162677320282659,0.838535215034908,0.89873417721519,0.871828603645931
"AR1_logistic_glm",0,0.01,0,36,100,500,0.229561546012163,0.163429959980226,0.802137003742928,0.869047619047619,0.872084273890143
"AR1_logistic_glm",0,0.01,0,36,100,1000,0.249854906474843,0.178134183958933,0.830632443322037,0.869047619047619,0.872084273890143
"AR1_logistic_glm",0,0.1,0,36,100,500,0.341004717303249,0.23142668116206,0.752164015994369,0.847222222222222,0.879946727549467
"AR1_logistic_glm",0,0.1,0,36,100,1000,0.355751435614594,0.243032967756981,0.777380872646975,0.847222222222222,0.879946727549467
"AR1_logistic_glm",0,0.75,0,36,100,500,0.407048180848131,0.279874755500527,0.551500043750575,0.621417797888386,0.928013510660756
"AR1_logistic_glm",0,0.75,0,36,100,1000,0.415036425533551,0.283796304276781,0.584897570646257,0.621417797888386,0.928013510660756
"AR1_logistic_glm",0,0.005,0.78125,36,100,500,0.199135858267541,0.147168474193979,0.7922073463959,0.89873417721519,0.885359894756625
"AR1_logistic_glm",0,0.005,0.78125,36,100,1000,0.21801702508143,0.160931261558714,0.835227857408896,0.89873417721519,0.885359894756625
"AR1_logistic_glm",0,0.01,0.78125,36,100,500,0.220779191032154,0.162039388684851,0.797044021414517,0.869047619047619,0.885628291948834
"AR1_logistic_glm",0,0.01,0.78125,36,100,1000,0.241689048470152,0.176696693875849,0.830229823113317,0.869047619047619,0.885628291948834
"AR1_logistic_glm",0,0.1,0.78125,36,100,500,0.328189678517551,0.230079044960866,0.757645829306602,0.840277777777778,0.893455098934551
"AR1_logistic_glm",0,0.1,0.78125,36,100,1000,0.344832399703314,0.242054517676599,0.787540679773016,0.840277777777778,0.893455098934551
"AR1_logistic_glm",0,0.75,0.78125,36,100,500,0.41531179442108,0.28219251242704,0.568654246309819,0.609351432880845,0.941524171416508
"AR1_logistic_glm",0,0.75,0.78125,36,100,1000,0.424325112631391,0.287112818070855,0.59593687878345,0.609351432880845,0.941524171416508
"AR1_logistic_glm",0,0.005,1.5625,36,100,500,0.204062389417816,0.145802359792797,0.785079130823642,0.89873417721519,0.889682390528096
"AR1_logistic_glm",0,0.005,1.5625,36,100,1000,0.223247801957581,0.159582556144945,0.83268753831081,0.89873417721519,0.889682390528096
"AR1_logistic_glm",0,0.01,1.5625,36,100,500,0.226340293455461,0.160959566002343,0.793507791231062,0.869047619047619,0.889954853273138
"AR1_logistic_glm",0,0.01,1.5625,36,100,1000,0.248051923927647,0.175471074647485,0.824951746140914,0.869047619047619,0.889954853273138
"AR1_logistic_glm",0,0.1,1.5625,36,100,500,0.338293632953729,0.229369975657932,0.753623755143514,0.840277777777778,0.897831050228311
"AR1_logistic_glm",0,0.1,1.5625,36,100,1000,0.354938975940235,0.240937499484936,0.782237301396794,0.840277777777778,0.897831050228311
"AR1_logistic_glm",0,0.75,1.5625,36,100,500,0.424614309942572,0.285565701288912,0.581530733238212,0.607843137254902,0.946168461051298
"AR1_logistic_glm",0,0.75,1.5625,36,100,1000,0.43370547864105,0.290596228619976,0.613437840440341,0.607843137254902,0.946168461051298
"AR1_logistic_glm",0,0.005,3.125,36,100,500,0.201253330108587,0.143298563893424,0.780625589418597,0.89873417721519,0.90302574704003
"AR1_logistic_glm",0,0.005,3.125,36,100,1000,0.220249007752202,0.157080050466898,0.821209992487293,0.89873417721519,0.90302574704003
"AR1_logistic_glm",0,0.01,3.125,36,100,500,0.22336543886509,0.15837700527094,0.77925043677354,0.869047619047619,0.903310759969902
"AR1_logistic_glm",0,0.01,3.125,36,100,1000,0.243766415017354,0.172285332990008,0.823241844208534,0.869047619047619,0.903310759969902
"AR1_logistic_glm",0,0.1,3.125,36,100,500,0.338920299926055,0.228344076629379,0.755662122018414,0.840277777777778,0.911339421613394
"AR1_logistic_glm",0,0.1,3.125,36,100,1000,0.354984705352986,0.239409448913452,0.784539778681035,0.840277777777778,0.911339421613394
"AR1_logistic_glm",0,0.75,3.125,36,100,500,0.435608396255601,0.290530154706125,0.595500957621083,0.567119155354449,0.955457040320878
"AR1_logistic_glm",0,0.75,3.125,36,100,1000,0.442272795095373,0.294080299467208,0.607185997067202,0.567119155354449,0.955457040320878
"AR1_logistic_glm",0,0.005,0,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,0,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,0,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,0,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,0,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,0,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,0.78125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,0.78125,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,0.78125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,0.78125,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0.78125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,0.78125,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,0.78125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,0.78125,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,1.5625,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,1.5625,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,1.5625,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,1.5625,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,1.5625,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,1.5625,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,1.5625,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.75,1.5625,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,3.125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,3.125,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,3.125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.01,3.125,12,3000,1000,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,3.125,12,3000,500,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.1,3.125,12,3000,1000,NA,NA,NA,NA,NA
