"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"1126",2,1,2,1,4,2,1,1,2,1,2,6,1,0,1,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"715737",3,1,0,3,3,1,5,4,1,1,4,4,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1099406",3,5,3,4,4,3,2,2,2,0,4,1,1,2,1,1,2,2,0,0,0,2,0,1,2,1,0,1,0,1,1,0,0,0,1,0,9
"1220694",1,4,0,2,3,2,5,0,3,3,7,1,3,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
"943893",1,4,2,2,4,1,4,3,2,5,2,6,0,0,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"809838",2,2,1,3,1,2,2,2,1,4,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1054436",4,0,2,0,0,1,1,2,1,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"817395",3,1,0,0,4,5,4,5,3,3,4,2,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,2,7
"586036",4,1,3,3,3,3,5,0,2,3,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"706714",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"1220878",1,0,2,1,3,1,2,1,2,2,0,3,3,2,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7
"955414",39,13,0,1,1,1,0,0,0,0,1,3,4,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2
"1555181",0,0,0,2,0,0,0,2,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,4
"1739024",0,2,1,4,0,3,1,4,0,0,2,3,5,3,3,0,2,1,0,0,0,2,0,2,2,0,0,0,2,1,0,0,0,1,1,0,6
"1652570",2,1,5,1,0,3,2,1,0,4,2,0,1,0,3,0,1,0,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
