"","utilization_rate1","utilization_rate2","survival_rate","correct_scheduled_rate","correct_unscheduled_rate"
"780697",0.946219046424993,0.909657079537531,0.860759493670886,NA,0.143900657414171
"1061254",0.954757749270813,0.944972208146865,0.972972972972973,NA,0.141709276844412
"1938269",0.735506674301852,0.552657026398222,0.921052631578947,0.909090909090909,0
"827636",0.222076246989261,0.173656404891489,1,1,0.0845503458877786
"1629198",0.772782362071948,0.675238789814253,0.786666666666667,0.25,0.232441471571906
"605145",0.608013001281509,0.504374551888051,0.92,0.85,0.0513643659711075
"1053575",0.856433549823732,0.801283802685001,0.972972972972973,1,0.079940784603997
"1947803",0.846942499730191,0.786092472047683,0.847058823529412,NA,0.100073046018992
"706990",0.849089185087877,0.769646753436868,0.921052631578947,NA,0.197224251278305
"1061169",0.869464583796245,0.859485581838015,0.972972972972973,NA,0.0452885317750183
"282785",0.951754970660167,0.943964948999082,1,1,NA
"825849",0.870532057132493,0.858460217585078,1,1,0
