"","utilization_rate1","utilization_rate2","survival_rate","correct_scheduled_rate","correct_unscheduled_rate"
"817395",0.78428927680798,0.662027833001988,0.993975903614458,1,NA
"586036",0.938163309508339,0.891010696653867,0.913173652694611,0.94,0.0533661740558292
"706714",0.889164420485175,0.849855729596043,0.921282798833819,0.942622950819672,0.103448275862069
"1220878",0.927659574468085,0.869665634349903,0.880466472303207,0.801801801801802,0.115061409179056
"955414",0.857654645330786,0.718194015049875,0.934328358208955,0.958333333333333,0.55459624174708
"1555181",0.958965102286402,0.939703628002044,0.984939759036145,1,0
"1739024",1,1,1,1,NA
"1652570",0.959795321637427,0.955488174651304,0.996987951807229,NA,0.13855421686747
"1220941",0.899077531298045,0.85072261718175,0.921052631578947,1,0.0805270863836018
"1947988",0.934511766585028,0.890565144224671,0.947368421052632,NA,0.0509731232622799
"807274",0.951188405797101,0.925071883633083,0.96996996996997,NA,0.0732159406858202
"1475279",0.744526430385872,0.686501408136519,0.975975975975976,1,NA
"594559",0.858067446349495,0.807860884438585,0.863636363636364,0.953068592057762,0.80225988700565
"965207",0.970248667850799,0.945785088193918,0.984939759036145,NA,0.662187210379982
"942980",0.919635045619298,0.866190550933919,0.958333333333333,0.98961937716263,0.073469387755102
"715586",0.9441647597254,0.923455684870188,0.958456973293769,0.950943396226415,0.24
"799526",0.515065243179122,0.376490310273567,0.937125748502994,0.984615384615385,0.152899824253076
"1641403",0.929402888553568,0.885477370164044,0.941520467836257,NA,0.0963855421686747
"1615370",0.963185021563059,0.953415529313771,0.984984984984985,NA,0.110287303058387
"1771782",0.879424115176965,0.803030994659241,0.975903614457831,0.993975903614458,NA
"1948338",0.927493112947658,0.884409614290092,0.96996996996997,0.982062780269058,0.039453717754173
"1035359",0.847020933977456,0.632501899743639,0.969879518072289,NA,0.997683039851715
"780697",0.955715647844051,0.939622248454968,0.967164179104478,NA,0.385542168674699
"1061254",1.00075815011372,0.997543925939921,0.993975903614458,NA,1
"1938269",0.639989538381064,0.531008978543722,0.957957957957958,0.923976608187134,0.00436205016357688
"827636",0.425406582148803,0.363789012593539,0.962585034013605,0.987878787878788,0.0360873694207028
"1629198",0.878410377844126,0.841752170481452,0.92814371257485,0.95,0.0852156057494867
"605145",0.7649549303469,0.637316164269256,0.908554572271386,0.85958904109589,0.0214067278287462
"1053575",0.924597445863409,0.875016421008381,0.935103244837758,0.771428571428571,0.0852475752935171
"1947803",0.862988945578231,0.836370816128561,0.924198250728863,0.9609375,0.0493545937737282
"706990",0.913877684508885,0.867700588265737,0.938235294117647,NA,0.175625579240037
"1061169",0.966206354552599,0.961617967484217,0.996987951807229,NA,0.0699721964782206
"282785",1,1,1,1,NA
"825849",0.892829775588396,0.878232623247968,0.981927710843373,1,0.134920634920635
